LocationID,Date,Observer,Species,Count,Link
L2329696,2019-9-13,Mark Stevenson,Taiwan Barbet,3,/view/checklist/S59725288
L2329696,2019-9-13,Mark Stevenson,Gray Treepie,7,/view/checklist/S59725288
L2329696,2019-9-13,Mark Stevenson,Plain Prinia,1,/view/checklist/S59725288
L2329696,2019-9-13,Mark Stevenson,Light-vented Bulbul,-1,/view/checklist/S59725288
L2329696,2019-9-13,Mark Stevenson,Swinhoe's White-eye,-1,/view/checklist/S59725288
L2329696,2019-9-13,Mark Stevenson,Javan Myna,2,/view/checklist/S59725288
L2329696,2019-9-13,Mark Stevenson,White-rumped Munia,2,/view/checklist/S59725288
L2329696,2019-9-13,Mark Stevenson,Scaly-breasted Munia,5,/view/checklist/S59725288
L2329696,2019-9-13,Mark Stevenson,Eurasian Tree Sparrow,4,/view/checklist/S59725288
L2329696,2019-9-7,Peter Kyne,Eastern Spot-billed Duck,15,/view/checklist/S59570864
L2329696,2019-9-7,Peter Kyne,Oriental Turtle-Dove,10,/view/checklist/S59570864
L2329696,2019-9-7,Peter Kyne,Spotted Dove,1,/view/checklist/S59570864
L2329696,2019-9-7,Peter Kyne,Eurasian Moorhen,4,/view/checklist/S59570864
L2329696,2019-9-7,Peter Kyne,Black-winged Stilt,5,/view/checklist/S59570864
L2329696,2019-9-7,Peter Kyne,Common Greenshank,3,/view/checklist/S59570864
L2329696,2019-9-7,Peter Kyne,Wood Sandpiper,1,/view/checklist/S59570864
L2329696,2019-9-7,Peter Kyne,Gray Heron,6,/view/checklist/S59570864
L2329696,2019-9-7,Peter Kyne,Great Egret,4,/view/checklist/S59570864
L2329696,2019-9-7,Peter Kyne,Little Egret (Western),3,/view/checklist/S59570864
L2329696,2019-9-7,Peter Kyne,Cattle Egret,8,/view/checklist/S59570864
L2329696,2019-9-7,Peter Kyne,Malayan Night-Heron,1,/view/checklist/S59570864
L2329696,2019-9-7,Peter Kyne,African Sacred Ibis,12,/view/checklist/S59570864
L2329696,2019-9-7,Peter Kyne,Black-naped Monarch,3,/view/checklist/S59570864
L2329696,2019-9-7,Peter Kyne,Gray Treepie,2,/view/checklist/S59570864
L2329696,2019-9-7,Peter Kyne,Light-vented Bulbul,25,/view/checklist/S59570864
L2329696,2019-9-7,Peter Kyne,Swinhoe's White-eye,20,/view/checklist/S59570864
L2329696,2019-9-7,Peter Kyne,Black-collared Starling,2,/view/checklist/S59570864
L2329696,2019-9-7,Peter Kyne,Javan Myna,1,/view/checklist/S59570864
